dataset,alpha,n_cases,sensitivity,sensitivity_ci_lo,sensitivity_ci_hi,specificity,specificity_ci_lo,specificity_ci_hi,mcc,mcc_ci_lo,mcc_ci_hi,action_accuracy,action_accuracy_ci_lo,action_accuracy_ci_hi,critical_under_triage,critical_under_triage_ci_lo,critical_under_triage_ci_hi,tp,fn,fp,tn,n_critical_cases,n_under_triaged,fn_corrected,fn_correction_rate,tp_disrupted,tp_disruption_rate,mcnemar_statistic,mcnemar_p_value,mcnemar_b,mcnemar_c
physician,0.0,200,0.4015151515151515,0.3218185821705353,0.48678182432009975,0.6911764705882353,0.5736318830649045,0.7882761353244803,0.09094540722101642,-0.037719337352947586,0.22703740778349968,0.785,0.725,0.84,0.27419354838709675,0.17881063614202036,0.3959253964198897,53,79,21,47,62,17,3.0,0.038461538461538464,4.0,0.07407407407407407,0.0,1.0,7.0,6.0
physician,0.25,200,0.38636363636363635,0.30763266081633867,0.47152165436516336,0.7058823529411765,0.5889372027651877,0.8008098939618421,0.09131978604872934,-0.04483874533520988,0.2261622963224443,0.78,0.72,0.835,0.3064516129032258,0.20581586585634154,0.4296721620538672,51,81,20,48,62,19,1.0,0.01282051282051282,4.0,0.07407407407407407,0.1,0.75390625,6.0,4.0
physician,0.5,200,0.38636363636363635,0.30763266081633867,0.47152165436516336,0.6911764705882353,0.5736318830649045,0.7882761353244803,0.07652380997938578,-0.05628271136084068,0.2156236801769353,0.78,0.72,0.835,0.2903225806451613,0.19223557288619525,0.41287645734986417,51,81,21,47,62,18,3.0,0.038461538461538464,6.0,0.1111111111111111,0.36363636363636365,0.548828125,7.0,4.0
physician,0.75,200,0.3939393939393939,0.31471559194916743,0.4791617688869011,0.6764705882352942,0.5584449810050397,0.7756239590467001,0.06908353048519517,-0.06630752424871482,0.2035731326813634,0.775,0.715,0.83,0.27419354838709675,0.17881063614202036,0.3959253964198897,52,80,22,46,62,17,1.0,0.01282051282051282,3.0,0.05555555555555555,0.5714285714285714,0.453125,5.0,2.0
physician,1.0,200,0.4090909090909091,0.32894144340319603,0.4943820087420056,0.6911764705882353,0.5736318830649045,0.7882761353244803,0.09811049102515929,-0.04015784771741127,0.23045616866012353,0.77,0.715,0.83,0.27419354838709675,0.17881063614202036,0.3959253964198897,54,78,21,47,62,17,,,,,,,,
physician,1.5,200,0.4090909090909091,0.32894144340319603,0.4943820087420056,0.6911764705882353,0.5736318830649045,0.7882761353244803,0.09811049102515929,-0.03931664120753111,0.228943126796841,0.765,0.705,0.82,0.2903225806451613,0.19223557288619525,0.41287645734986417,54,78,21,47,62,18,4.0,0.05128205128205128,4.0,0.07407407407407407,0.1,1.0,5.0,5.0
physician,2.0,200,0.3787878787878788,0.30056999410898055,0.46386127541795497,0.7058823529411765,0.5889372027651877,0.8008098939618421,0.08409137894300749,-0.050784089022929566,0.21750671444895367,0.765,0.7,0.82,0.3387096774193548,0.23341701875208903,0.46282300450641817,50,82,20,48,62,21,2.0,0.02564102564102564,6.0,0.1111111111111111,0.3076923076923077,0.5810546875,8.0,5.0
physician,3.0,200,0.3712121212121212,0.2935278152286062,0.4561804086437627,0.75,0.6356144714454861,0.8376498602944786,0.12211333898280384,-0.012674832256819748,0.2506353240436376,0.77,0.71,0.825,0.3548387096774194,0.24742732851049892,0.4791886924221576,49,83,17,51,62,22,3.0,0.038461538461538464,8.0,0.14814814814814814,0.0,1.0,9.0,8.0
